experiment,game_index,red_ai,black_ai,winner,plies,red_total_time_s,black_total_time_s,red_avg_time_s,black_avg_time_s,material_diff,error
A: MinimaxAI(depth=5) vs RandomAI,1,MinimaxAI,RandomAI,red,13,118.57079720000002,0.012983400001758127,16.938685314285717,0.002163900000293021,2,
A: MinimaxAI(depth=5) vs RandomAI,2,RandomAI,MinimaxAI,error,23,0.027411100001700106,437.67344400000366,0.002284258333475009,39.78849490909124,-4,"MemoryError: 
Traceback (most recent call last):
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\infra\experiment_runner.py"", line 177, in run_single_game
    move = _pick_move(agent, board, game_history=game_hash_history, move_history=history)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\infra\experiment_runner.py"", line 118, in _pick_move
    return agent.choose_move(
           ^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\minimax_ai.py"", line 505, in choose_move
    return self.get_best_move(
           ^^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\minimax_ai.py"", line 677, in get_best_move
    score = -self._alphabeta(
             ^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\minimax_ai.py"", line 1075, in _alphabeta
    score = -self._alphabeta(
             ^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\minimax_ai.py"", line 1089, in _alphabeta
    score = -self._alphabeta(
             ^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\minimax_ai.py"", line 1075, in _alphabeta
    score = -self._alphabeta(
             ^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\minimax_ai.py"", line 1089, in _alphabeta
    score = -self._alphabeta(
             ^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\minimax_ai.py"", line 1035, in _alphabeta
    applied = apply_pseudo_legal_with_rule_cache(
              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\search_move_helpers.py"", line 395, in apply_pseudo_legal_with_rule_cache
    pre_move_cache.remember_before_apply(pre_z, move, True, opp_ic)
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\search_move_helpers.py"", line 304, in remember_before_apply
    self._data[key] = (legal, opp_in_check)
    ~~~~~~~~~~^^^^^
MemoryError
"
A: MinimaxAI(depth=5) vs RandomAI,3,MinimaxAI,RandomAI,error,0,0.0,0.0,0.0,0.0,0,"MemoryError: 
Traceback (most recent call last):
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\infra\experiment_runner.py"", line 177, in run_single_game
    move = _pick_move(agent, board, game_history=game_hash_history, move_history=history)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\infra\experiment_runner.py"", line 118, in _pick_move
    return agent.choose_move(
           ^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\minimax_ai.py"", line 505, in choose_move
    return self.get_best_move(
           ^^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\minimax_ai.py"", line 677, in get_best_move
    score = -self._alphabeta(
             ^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\minimax_ai.py"", line 1075, in _alphabeta
    score = -self._alphabeta(
             ^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\minimax_ai.py"", line 1035, in _alphabeta
    applied = apply_pseudo_legal_with_rule_cache(
              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\search_move_helpers.py"", line 388, in apply_pseudo_legal_with_rule_cache
    legal, opp_ic = pseudo_move_post_apply_flags_cached(board, mover, post_apply_cache)
                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\search_move_helpers.py"", line 239, in pseudo_move_post_apply_flags_cached
    cache.remember(k, res)
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\search_move_helpers.py"", line 259, in remember
    self._data[zobrist] = value
    ~~~~~~~~~~^^^^^^^^^
MemoryError
"
A: MinimaxAI(depth=5) vs RandomAI,4,RandomAI,MinimaxAI,error,1,0.0024331000004167436,0.0,0.0024331000004167436,0.0,1,"MemoryError: 
Traceback (most recent call last):
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\infra\experiment_runner.py"", line 177, in run_single_game
    move = _pick_move(agent, board, game_history=game_hash_history, move_history=history)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\infra\experiment_runner.py"", line 118, in _pick_move
    return agent.choose_move(
           ^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\minimax_ai.py"", line 505, in choose_move
    return self.get_best_move(
           ^^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\minimax_ai.py"", line 677, in get_best_move
    score = -self._alphabeta(
             ^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\minimax_ai.py"", line 1075, in _alphabeta
    score = -self._alphabeta(
             ^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\minimax_ai.py"", line 1089, in _alphabeta
    score = -self._alphabeta(
             ^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\minimax_ai.py"", line 1075, in _alphabeta
    score = -self._alphabeta(
             ^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\minimax_ai.py"", line 1075, in _alphabeta
    score = -self._alphabeta(
             ^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\minimax_ai.py"", line 1020, in _alphabeta
    return self._quiescence_search(board, alpha, beta, skip_rep_count=skip_rep_count)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\minimax_ai.py"", line 890, in _quiescence_search
    score = -self._quiescence_search(
             ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\minimax_ai.py"", line 868, in _quiescence_search
    applied = apply_pseudo_legal_with_rule_cache(
              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\search_move_helpers.py"", line 395, in apply_pseudo_legal_with_rule_cache
    pre_move_cache.remember_before_apply(pre_z, move, True, opp_ic)
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\search_move_helpers.py"", line 304, in remember_before_apply
    self._data[key] = (legal, opp_in_check)
    ~~~~~~~~~~^^^^^
MemoryError
"
"B: MinimaxAI(depth=5) vs MCTSMinimaxAI(sims=8000, workers=8)",1,MinimaxAI,MCTSMinimaxAI,error,0,0.0,0.0,0.0,0.0,2,"RuntimeError: undo_move failed: destination square is empty. move=(7,7)->(7,4), captured=None, current_player='black', zobrist=0xeeac5bfb79bb5912
Traceback (most recent call last):
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\minimax_ai.py"", line 890, in _quiescence_search
    score = -self._quiescence_search(
             ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\minimax_ai.py"", line 890, in _quiescence_search
    score = -self._quiescence_search(
             ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\minimax_ai.py"", line 868, in _quiescence_search
    applied = apply_pseudo_legal_with_rule_cache(
              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\search_move_helpers.py"", line 395, in apply_pseudo_legal_with_rule_cache
    pre_move_cache.remember_before_apply(pre_z, move, True, opp_ic)
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\search_move_helpers.py"", line 304, in remember_before_apply
    self._data[key] = (legal, opp_in_check)
    ~~~~~~~~~~^^^^^
MemoryError

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\minimax_ai.py"", line 677, in get_best_move
    score = -self._alphabeta(
             ^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\minimax_ai.py"", line 1089, in _alphabeta
    score = -self._alphabeta(
             ^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\minimax_ai.py"", line 1089, in _alphabeta
    score = -self._alphabeta(
             ^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\minimax_ai.py"", line 1075, in _alphabeta
    score = -self._alphabeta(
             ^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\minimax_ai.py"", line 1020, in _alphabeta
    return self._quiescence_search(board, alpha, beta, skip_rep_count=skip_rep_count)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\minimax_ai.py"", line 896, in _quiescence_search
    board.undo_move(*move, captured)
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\engine\board.py"", line 281, in undo_move
    raise RuntimeError(
RuntimeError: undo_move failed: destination square is empty. move=(7,4)->(3,4), captured=black:bing, current_player='red', zobrist=0x424ecf351733c854

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\infra\experiment_runner.py"", line 177, in run_single_game
    move = _pick_move(agent, board, game_history=game_hash_history, move_history=history)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\infra\experiment_runner.py"", line 118, in _pick_move
    return agent.choose_move(
           ^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\minimax_ai.py"", line 505, in choose_move
    return self.get_best_move(
           ^^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\minimax_ai.py"", line 689, in get_best_move
    board.undo_move(*move, captured)
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\engine\board.py"", line 281, in undo_move
    raise RuntimeError(
RuntimeError: undo_move failed: destination square is empty. move=(7,7)->(7,4), captured=None, current_player='black', zobrist=0xeeac5bfb79bb5912
"
"B: MinimaxAI(depth=5) vs MCTSMinimaxAI(sims=8000, workers=8)",2,MCTSMinimaxAI,MinimaxAI,error,0,0.0,0.0,0.0,0.0,0,"OSError: [WinError 1455] 页面文件太小，无法完成操作。
Traceback (most recent call last):
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\infra\experiment_runner.py"", line 177, in run_single_game
    move = _pick_move(agent, board, game_history=game_hash_history, move_history=history)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\infra\experiment_runner.py"", line 118, in _pick_move
    return agent.choose_move(
           ^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\mcts_minimax_ai.py"", line 611, in choose_move
    return self.get_best_move(
           ^^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\mcts_minimax_ai.py"", line 659, in get_best_move
    child_stats = self._parallel_search(
                  ^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\project_coding\Principles_of_Artificial_intelligence\Go_Monte-Carlo-Tree-Search\ai\mcts_minimax_ai.py"", line 751, in _parallel_search
    pool.submit(
  File ""C:\Users\XZH2005\.conda\envs\chessai\Lib\concurrent\futures\process.py"", line 808, in submit
    self._adjust_process_count()
  File ""C:\Users\XZH2005\.conda\envs\chessai\Lib\concurrent\futures\process.py"", line 767, in _adjust_process_count
    self._spawn_process()
  File ""C:\Users\XZH2005\.conda\envs\chessai\Lib\concurrent\futures\process.py"", line 785, in _spawn_process
    p.start()
  File ""C:\Users\XZH2005\.conda\envs\chessai\Lib\multiprocessing\process.py"", line 121, in start
    self._popen = self._Popen(self)
                  ^^^^^^^^^^^^^^^^^
  File ""C:\Users\XZH2005\.conda\envs\chessai\Lib\multiprocessing\context.py"", line 336, in _Popen
    return Popen(process_obj)
           ^^^^^^^^^^^^^^^^^^
  File ""C:\Users\XZH2005\.conda\envs\chessai\Lib\multiprocessing\popen_spawn_win32.py"", line 75, in __init__
    hp, ht, pid, tid = _winapi.CreateProcess(
                       ^^^^^^^^^^^^^^^^^^^^^^
OSError: [WinError 1455] 页面文件太小，无法完成操作。
"
"B: MinimaxAI(depth=5) vs MCTSMinimaxAI(sims=8000, workers=8)",3,MinimaxAI,MCTSMinimaxAI,red,47,487.7271938999929,30.9555313999972,20.321966412499705,1.3458926695650957,15,
"B: MinimaxAI(depth=5) vs MCTSMinimaxAI(sims=8000, workers=8)",4,MCTSMinimaxAI,MinimaxAI,black,38,24.404718599987973,205.72860560000845,1.2844588736835776,10.827821347368866,-8,
